number,classification,id
477,EN,84/196395/18/19/80
464,EN,84/196319/18/19/80
452,EN,84/194278/18/19/80
120,ICE,84/192827/18/19/80
990,ICE,84/112197/18/19/80
947,ICE,84/111906/18/19/80
905,ICE,84/111784/18/19/80
887,ICE,84/111722/18/19/80
877,ICE,84/111530/18/19/80
842,ICE,84/111336/18/19/80
821,ICE,84/111263/18/19/80
782,ICE,84/111025/18/19/80
732,ICE,84/110815/18/19/80
685,ICE,84/110434/18/19/80
635,ICE,84/110192/18/19/80
619,ICE,84/110005/18/19/80
615,ICE,84/109927/18/19/80
605,ICE,84/109845/18/19/80
592,ICE,84/109613/18/19/80
580,ICE,84/109521/18/19/80
540,ICE,84/109170/18/19/80
524,ICE,84/109041/18/19/80
522,ICE,84/109014/18/19/80
520,ICE,84/108996/18/19/80
491,EN,84/108796/18/19/80
485,CNL,84/108795/18/19/80
479,CNL,84/108747/18/19/80
478,CNL,84/108724/18/19/80
471,CNL,84/108707/18/19/80
470,CNL,84/108674/18/19/80
458,CNL,84/108650/18/19/80
421,EN,84/108590/18/19/80
273,ICE,84/108313/18/19/80
272,ICE,84/108299/18/19/80
2446,IC,84/108074/18/19/80
2309,IC,84/107150/18/19/80
2229,IC,84/106723/18/19/80
2221,IC,84/106624/18/19/80
1659,ICE,84/104791/18/19/80
1647,ICE,84/104708/18/19/80
1604,ICE,84/104540/18/19/80
1517,ICE,84/104204/18/19/80
1500,ICE,84/104102/18/19/80
1093,ICE,84/103288/18/19/80
1029,ICE,84/102997/18/19/80
102,ICE,84/102932/18/19/80
100,ICE,84/102828/18/19/80
61479,IC,84/102794/18/19/80
61478,IC,84/102781/18/19/80
61470,IC,84/102755/18/19/80
61458,IC,84/102731/18/19/80
60491,IC,84/102611/18/19/80
60479,IC,84/102552/18/19/80
60478,IC,84/102529/18/19/80
60477,EN,84/102523/18/19/80
60471,IC,84/102513/18/19/80
60470,IC,84/102480/18/19/80
60458,IC,84/102458/18/19/80
40485,CNL,84/102273/18/19/80
40479,CNL,84/102229/18/19/80
40478,CNL,84/102216/18/19/80
40470,CNL,84/102190/18/19/80
40458,CNL,84/102156/18/19/80
842,IC,84/283433/18/19/80
837,IC,84/283415/18/19/80
739,IC,84/283031/18/19/80
541,IC,84/281999/18/19/80
839,IC,84/279495/18/19/80
792,IC,84/279336/18/19/80
740,IC,84/279180/18/19/80
10793,IC,84/277309/18/19/80
1096,IC,84/271524/18/19/80
237,EN,84/236439/18/19/80
883,IC,84/234192/18/19/80
781,IC,84/233158/18/19/80
583,IC,84/230963/18/19/80
3693,IC,84/226980/18/19/80
3691,IC,84/226977/18/19/80
3682,IC,84/226914/18/19/80
3680,IC,84/226903/18/19/80
3086,IC,84/224944/18/19/80
